"","Treatment","Location","Col","Row","plot","Block","RIL","DAYS_TILL_BUDDING","GDD_TILL_BUDDING"
"138","SD","IV",29,16,391,2,"RIL167",157,1470.45901998429
"139","SD","IV",14,5,72,1,"RIL168",143,1298.41578326931
"140","SD","IV",25,15,367,2,"RIL168",143,1298.41578326931
"141","SD","IV",34,5,170,1,"RIL169",182,1757.18758378496
"142","SD","IV",2,13,244,2,"RIL169",195,1927.865626113
"143","SD","IV",6,5,32,1,"RIL17",150,1382.56207956561
"144","SD","IV",2,19,256,2,"RIL17",143,1298.41578326931
"145","SD","IV",21,10,101,1,"RIL170",143,1298.41578326931
"146","SD","IV",45,16,471,2,"RIL170",143,1298.41578326931
"147","SD","IV",38,3,196,1,"RIL171",195,1927.865626113
"148","SD","IV",9,19,295,2,"RIL171",195,1927.865626113
"149","SD","IV",37,3,195,1,"RIL172",143,1298.41578326931
"150","SD","IV",45,20,463,2,"RIL172",143,1298.41578326931
"151","SD","IV",38,7,188,1,"RIL173",182,1757.18758378496
"152","SD","IV",25,19,375,2,"RIL173",174,1662.20823905561
"153","SD","IV",46,5,232,1,"RIL174",135,1209.08864961392
"154","SD","IV",46,19,466,2,"RIL174",135,1209.08864961392
"155","SD","IV",6,1,40,1,"RIL175",195,1927.865626113
"156","SD","IV",37,18,427,2,"RIL175",157,1470.45901998429
"157","SD","IV",2,8,16,1,"RIL176",195,1927.865626113
"158","SD","IV",13,19,305,2,"RIL176",182,1757.18758378496
"159","SD","IV",13,9,63,1,"RIL177",122,1115.27006197169
"160","SD","IV",38,13,438,2,"RIL177",143,1298.41578326931
"161","SD","IV",6,6,30,1,"RIL178",143,1298.41578326931
"162","SD","IV",38,14,436,2,"RIL178",143,1298.41578326931
"163","SD","IV",17,3,85,1,"RIL179",129,1164.60187712715
"164","SD","IV",45,14,475,2,"RIL179",129,1164.60187712715
"165","SD","IV",1,8,15,1,"RIL18",143,1298.41578326931
"166","SD","IV",30,18,388,2,"RIL18",143,1298.41578326931
"167","SD","IV",45,6,229,1,"RIL180",174,1662.20823905561
"168","SD","IV",29,19,385,2,"RIL180",157,1470.45901998429
"169","SD","IV",5,2,37,1,"RIL181",129,1164.60187712715
"170","SD","IV",33,21,419,2,"RIL181",122,1115.27006197169
"171","SD","IV",30,5,152,1,"RIL182",157,1470.45901998429
"172","SD","IV",2,20,258,2,"RIL182",174,1662.20823905561
"173","SD","IV",38,4,194,1,"RIL183",174,1662.20823905561
"174","SD","IV",17,21,339,2,"RIL183",157,1470.45901998429
"175","SD","IV",18,7,94,1,"RIL184",143,1298.41578326931
"176","SD","IV",2,18,254,2,"RIL184",143,1298.41578326931
"177","SD","IV",10,10,60,1,"RIL185",195,1927.865626113
"178","SD","IV",22,15,354,2,"RIL185",195,1927.865626113
"179","SD","IV",33,1,161,1,"RIL186",157,1470.45901998429
"180","SD","IV",2,15,248,2,"RIL186",182,1757.18758378496
"181","SD","IV",13,1,79,1,"RIL187",195,1927.865626113
"182","SD","IV",1,21,259,2,"RIL187",195,1927.865626113
"183","SD","IV",41,8,215,1,"RIL188",129,1164.60187712715
"184","SD","IV",5,13,277,2,"RIL188",135,1209.08864961392
"185","SD","IV",34,2,164,1,"RIL189",135,1209.08864961392
"186","SD","IV",22,18,348,2,"RIL189",129,1164.60187712715
"187","SD","IV",17,1,81,1,"RIL19",195,1927.865626113
"188","SD","IV",5,20,263,2,"RIL19",174,1662.20823905561
"189","SD","IV",30,1,160,1,"RIL190",129,1164.60187712715
"190","SD","IV",34,18,414,2,"RIL190",129,1164.60187712715
"191","SD","IV",25,3,125,1,"RIL191",135,1209.08864961392
"192","SD","IV",14,20,304,2,"RIL191",143,1298.41578326931
"193","SD","IV",9,6,51,1,"RIL192",195,1927.865626113
"194","SD","IV",2,7,14,1,"RIL193",195,1927.865626113
"195","SD","IV",22,19,346,2,"RIL193",182,1757.18758378496
"196","SD","IV",21,8,105,1,"RIL194",157,1470.45901998429
"197","SD","IV",38,16,432,2,"RIL194",143,1298.41578326931
"198","SD","IV",2,4,8,1,"RIL195",150,1382.56207956561
"199","SD","IV",5,17,269,2,"RIL195",143,1298.41578326931
"200","SD","IV",29,10,141,1,"RIL196",143,1298.41578326931
"201","SD","IV",14,19,306,2,"RIL196",174,1662.20823905561
"202","SD","IV",29,3,155,1,"RIL197",157,1470.45901998429
"203","SD","IV",26,13,364,2,"RIL197",182,1757.18758378496
"204","SD","IV",34,4,168,1,"RIL198",195,1927.865626113
"205","SD","IV",33,16,409,2,"RIL198",182,1757.18758378496
"206","SD","IV",2,17,252,2,"RIL199",182,1757.18758378496
"207","SD","IV",33,7,173,1,"RIL2",150,1382.56207956561
"208","SD","IV",41,14,445,2,"RIL2",157,1470.45901998429
"209","SD","IV",2,6,12,1,"RIL20",195,1927.865626113
"210","SD","IV",46,12,480,2,"RIL20",182,1757.18758378496
"211","SD","IV",5,8,25,1,"RIL200",150,1382.56207956561
"212","SD","IV",38,17,430,2,"RIL200",174,1662.20823905561
"213","SD","IV",6,9,24,1,"RIL201",157,1470.45901998429
"214","SD","IV",33,18,413,2,"RIL201",150,1382.56207956561
"215","SD","IV",5,9,23,1,"RIL203",195,1927.865626113
"216","SD","IV",41,3,205,1,"RIL204",143,1298.41578326931
"217","SD","IV",14,17,310,2,"RIL204",143,1298.41578326931
"218","SD","IV",33,2,163,1,"RIL205",182,1757.18758378496
"219","SD","IV",37,16,431,2,"RIL205",182,1757.18758378496
"220","SD","IV",6,2,38,1,"RIL206",150,1382.56207956561
"221","SD","IV",46,16,472,2,"RIL206",143,1298.41578326931
"222","SD","IV",1,10,19,1,"RIL207",195,1927.865626113
"223","SD","IV",2,14,246,2,"RIL207",195,1927.865626113
"224","SD","IV",5,1,39,1,"RIL208",182,1757.18758378496
"225","SD","IV",2,1,2,1,"RIL21",174,1662.20823905561
"226","SD","IV",18,17,332,2,"RIL21",182,1757.18758378496
"227","SD","IV",21,2,117,1,"RIL210",174,1662.20823905561
"228","SD","IV",26,16,370,2,"RIL210",174,1662.20823905561
"229","SD","IV",22,5,112,1,"RIL211",150,1382.56207956561
"230","SD","IV",18,20,338,2,"RIL211",143,1298.41578326931
"231","SD","IV",37,8,185,1,"RIL212",182,1757.18758378496
"232","SD","IV",33,12,401,2,"RIL212",174,1662.20823905561
"233","SD","IV",37,5,191,1,"RIL213",174,1662.20823905561
"234","SD","IV",13,14,315,2,"RIL213",157,1470.45901998429
"235","SD","IV",10,1,42,1,"RIL214",174,1662.20823905561
"236","SD","IV",41,20,457,2,"RIL214",143,1298.41578326931
"237","SD","IV",21,1,119,1,"RIL215",143,1298.41578326931
"238","SD","IV",10,13,284,2,"RIL215",135,1209.08864961392
"239","SD","IV",41,4,207,1,"RIL216",157,1470.45901998429
"240","SD","IV",21,18,347,2,"RIL216",135,1209.08864961392
"241","SD","IV",22,4,114,1,"RIL217",174,1662.20823905561
"242","SD","IV",45,17,469,2,"RIL217",143,1298.41578326931
"243","SD","IV",25,9,137,1,"RIL218",150,1382.56207956561
"244","SD","IV",45,12,479,2,"RIL218",174,1662.20823905561
"245","SD","IV",5,4,33,1,"RIL219",195,1927.865626113
"246","SD","IV",10,18,294,2,"RIL219",182,1757.18758378496
"247","SD","IV",45,9,223,1,"RIL22",182,1757.18758378496
"248","SD","IV",41,21,459,2,"RIL22",182,1757.18758378496
"249","SD","IV",42,3,206,1,"RIL220",174,1662.20823905561
"250","SD","IV",14,14,316,2,"RIL220",174,1662.20823905561
"251","SD","IV",45,1,239,1,"RIL221",182,1757.18758378496
"252","SD","IV",6,20,264,2,"RIL221",182,1757.18758378496
"253","SD","IV",21,3,115,1,"RIL222",182,1757.18758378496
"254","SD","IV",21,16,351,2,"RIL222",174,1662.20823905561
"255","SD","IV",41,12,441,2,"RIL223",157,1470.45901998429
"256","SD","IV",42,9,218,1,"RIL224",182,1757.18758378496
"257","SD","IV",1,13,243,2,"RIL224",157,1470.45901998429
"258","SD","IV",46,2,238,1,"RIL225",129,1164.60187712715
"259","SD","IV",37,12,439,2,"RIL225",129,1164.60187712715
"260","SD","IV",41,10,219,1,"RIL226",174,1662.20823905561
"261","SD","IV",9,18,293,2,"RIL226",174,1662.20823905561
"262","SD","IV",10,4,48,1,"RIL227",195,1927.865626113
"263","SD","IV",5,18,267,2,"RIL227",195,1927.865626113
"264","SD","IV",13,10,61,1,"RIL228",122,1115.27006197169
"265","SD","IV",18,19,336,2,"RIL228",129,1164.60187712715
"266","SD","IV",29,7,147,1,"RIL229",182,1757.18758378496
"267","SD","IV",6,4,34,1,"RIL23",195,1927.865626113
"268","SD","IV",45,19,465,2,"RIL23",157,1470.45901998429
"269","SD","IV",34,3,166,1,"RIL230",195,1927.865626113
"270","SD","IV",34,17,412,2,"RIL230",182,1757.18758378496
"271","SD","IV",41,5,209,1,"RIL231",182,1757.18758378496
"272","SD","IV",9,16,289,2,"RIL231",182,1757.18758378496
"273","SD","IV",30,7,148,1,"RIL232",182,1757.18758378496
"274","SD","IV",6,21,262,2,"RIL232",182,1757.18758378496
"275","SD","IV",1,2,3,1,"RIL233",135,1209.08864961392
"276","SD","IV",33,15,407,2,"RIL233",143,1298.41578326931
"277","SD","IV",21,9,103,1,"RIL234",157,1470.45901998429
"278","SD","IV",9,12,281,2,"RIL234",174,1662.20823905561
"279","SD","IV",25,4,127,1,"RIL235",150,1382.56207956561
"280","SD","IV",37,13,437,2,"RIL235",143,1298.41578326931
"281","SD","IV",22,9,104,1,"RIL236",174,1662.20823905561
"282","SD","IV",29,15,393,2,"RIL236",157,1470.45901998429
"283","SD","IV",10,2,44,1,"RIL237",195,1927.865626113
"284","SD","IV",13,13,317,2,"RIL237",195,1927.865626113
"285","SD","IV",38,9,184,1,"RIL238",157,1470.45901998429
"286","SD","IV",18,13,324,2,"RIL238",157,1470.45901998429
"287","SD","IV",5,6,29,1,"RIL239",195,1927.865626113
"288","SD","IV",10,14,286,2,"RIL239",182,1757.18758378496
"289","SD","IV",45,10,221,1,"RIL24",174,1662.20823905561
"290","SD","IV",42,19,456,2,"RIL24",182,1757.18758378496
"291","SD","IV",18,10,100,1,"RIL25",182,1757.18758378496
"292","SD","IV",1,17,251,2,"RIL25",182,1757.18758378496
"293","SD","IV",26,9,138,1,"RIL26",150,1382.56207956561
"294","SD","IV",34,13,404,2,"RIL26",150,1382.56207956561
"295","SD","IV",9,2,43,1,"RIL28",122,1115.27006197169
"296","SD","IV",1,16,249,2,"RIL28",122,1115.27006197169
"297","SD","IV",1,6,11,1,"RIL29",182,1757.18758378496
"298","SD","IV",13,18,307,2,"RIL29",157,1470.45901998429
"299","SD","IV",9,5,49,1,"RIL3",174,1662.20823905561
"300","SD","IV",10,12,282,2,"RIL3",174,1662.20823905561
"301","SD","IV",18,3,86,1,"RIL30",182,1757.18758378496
"302","SD","IV",34,15,408,2,"RIL30",174,1662.20823905561
"303","SD","IV",10,8,56,1,"RIL31",195,1927.865626113
"304","SD","IV",13,16,311,2,"RIL31",174,1662.20823905561
"305","SD","IV",17,8,95,1,"RIL32",182,1757.18758378496
"306","SD","IV",1,19,255,2,"RIL32",182,1757.18758378496
"307","SD","IV",30,3,156,1,"RIL33",182,1757.18758378496
"308","SD","IV",33,13,403,2,"RIL33",182,1757.18758378496
"309","SD","IV",21,6,109,1,"RIL34",182,1757.18758378496
"310","SD","IV",5,21,261,2,"RIL34",174,1662.20823905561
"311","SD","IV",6,13,278,2,"RIL35",182,1757.18758378496
"312","SD","IV",41,2,203,1,"RIL36",129,1164.60187712715
"313","SD","IV",26,12,362,2,"RIL36",143,1298.41578326931
"314","SD","IV",1,9,17,1,"RIL37",157,1470.45901998429
"315","SD","IV",42,17,452,2,"RIL37",182,1757.18758378496
"316","SD","IV",38,5,192,1,"RIL38",195,1927.865626113
"317","SD","IV",29,20,383,2,"RIL38",182,1757.18758378496
"318","SD","IV",6,3,36,1,"RIL39",195,1927.865626113
"319","SD","IV",30,15,394,2,"RIL39",182,1757.18758378496
"320","SD","IV",33,5,169,1,"RIL4",135,1209.08864961392
"321","SD","IV",29,21,381,2,"RIL4",143,1298.41578326931
"322","SD","IV",29,6,149,1,"RIL40",174,1662.20823905561
"323","SD","IV",13,21,301,2,"RIL40",157,1470.45901998429
"324","SD","IV",42,5,210,1,"RIL41",143,1298.41578326931
"325","SD","IV",17,19,335,2,"RIL41",135,1209.08864961392
"326","SD","IV",10,3,46,1,"RIL42",195,1927.865626113
"327","SD","IV",30,20,384,2,"RIL42",174,1662.20823905561
"328","SD","IV",30,10,142,1,"RIL43",143,1298.41578326931
"329","SD","IV",1,15,247,2,"RIL43",143,1298.41578326931
"330","SD","IV",38,6,190,1,"RIL44",129,1164.60187712715
"331","SD","IV",21,20,343,2,"RIL44",129,1164.60187712715
"332","SD","IV",29,8,145,1,"RIL45",143,1298.41578326931
"333","SD","IV",13,15,313,2,"RIL45",143,1298.41578326931
"334","SD","IV",34,7,174,1,"RIL46",143,1298.41578326931
"335","SD","IV",42,18,454,2,"RIL46",135,1209.08864961392
"336","SD","IV",6,7,28,1,"RIL47",195,1927.865626113
"337","SD","IV",34,21,420,2,"RIL47",195,1927.865626113
"338","SD","IV",14,9,64,1,"RIL48",122,1115.27006197169
"339","SD","IV",13,20,303,2,"RIL48",122,1115.27006197169
"340","SD","IV",13,8,65,1,"RIL49",143,1298.41578326931
"341","SD","IV",33,20,417,2,"RIL49",150,1382.56207956561
"342","SD","IV",29,9,143,1,"RIL50",143,1298.41578326931
"343","SD","IV",17,13,323,2,"RIL50",143,1298.41578326931
"344","SD","IV",37,10,181,1,"RIL51",182,1757.18758378496
"345","SD","IV",29,18,387,2,"RIL51",195,1927.865626113
"346","SD","IV",1,5,9,1,"RIL52",143,1298.41578326931
"347","SD","IV",22,14,356,2,"RIL52",182,1757.18758378496
"348","SD","IV",17,9,97,1,"RIL53",143,1298.41578326931
"349","SD","IV",9,15,287,2,"RIL53",143,1298.41578326931
"350","SD","IV",41,9,217,1,"RIL54",157,1470.45901998429
"351","SD","IV",25,13,363,2,"RIL54",150,1382.56207956561
"352","SD","IV",37,4,193,1,"RIL55",182,1757.18758378496
"353","SD","IV",6,8,26,1,"RIL56",182,1757.18758378496
"354","SD","IV",1,12,241,2,"RIL56",182,1757.18758378496
"355","SD","IV",17,5,89,1,"RIL57",195,1927.865626113
"356","SD","IV",34,20,418,2,"RIL57",182,1757.18758378496
"357","SD","IV",9,13,283,2,"RIL58",174,1662.20823905561
"358","SD","IV",9,8,55,1,"RIL59",129,1164.60187712715
"359","SD","IV",22,17,350,2,"RIL59",129,1164.60187712715
"360","SD","IV",41,13,443,2,"RIL6",157,1470.45901998429
"361","SD","IV",13,3,75,1,"RIL60",195,1927.865626113
"362","SD","IV",46,17,470,2,"RIL60",174,1662.20823905561
"363","SD","IV",14,2,78,1,"RIL61",157,1470.45901998429
"364","SD","IV",21,12,359,2,"RIL61",143,1298.41578326931
"365","SD","IV",46,3,236,1,"RIL62",182,1757.18758378496
"366","SD","IV",18,14,326,2,"RIL62",174,1662.20823905561
"367","SD","IV",37,7,187,1,"RIL64",143,1298.41578326931
"368","SD","IV",14,16,312,2,"RIL64",143,1298.41578326931
"369","SD","IV",5,5,31,1,"RIL65",174,1662.20823905561
"370","SD","IV",2,12,242,2,"RIL65",174,1662.20823905561
"371","SD","IV",21,5,111,1,"RIL66",150,1382.56207956561
"372","SD","IV",34,12,402,2,"RIL66",157,1470.45901998429
"373","SD","IV",14,7,68,1,"RIL68",182,1757.18758378496
"374","SD","IV",13,12,319,2,"RIL68",182,1757.18758378496
"375","SD","IV",9,9,57,1,"RIL69",182,1757.18758378496
"376","SD","IV",25,14,365,2,"RIL69",157,1470.45901998429
"377","SD","IV",46,8,226,1,"RIL7",195,1927.865626113
"378","SD","IV",9,21,299,2,"RIL7",195,1927.865626113
"379","SD","IV",9,4,47,1,"RIL70",143,1298.41578326931
"380","SD","IV",29,17,389,2,"RIL70",135,1209.08864961392
"381","SD","IV",25,2,123,1,"RIL71",135,1209.08864961392
"382","SD","IV",17,14,325,2,"RIL71",150,1382.56207956561
"383","SD","IV",38,8,186,1,"RIL72",143,1298.41578326931
"384","SD","IV",17,12,321,2,"RIL72",143,1298.41578326931
"385","SD","IV",34,6,172,1,"RIL73",143,1298.41578326931
"386","SD","IV",14,12,320,2,"RIL73",135,1209.08864961392
"387","SD","IV",26,2,124,1,"RIL74",122,1115.27006197169
"388","SD","IV",5,12,279,2,"RIL74",122,1115.27006197169
"389","SD","IV",17,7,93,1,"RIL75",195,1927.865626113
"390","SD","IV",5,14,275,2,"RIL75",195,1927.865626113
"391","SD","IV",46,21,462,2,"RIL76",182,1757.18758378496
"392","SD","IV",9,1,41,1,"RIL77",135,1209.08864961392
"393","SD","IV",30,13,398,2,"RIL77",157,1470.45901998429
"394","SD","IV",22,1,120,1,"RIL78",195,1927.865626113
"395","SD","IV",41,19,455,2,"RIL78",182,1757.18758378496
"396","SD","IV",33,4,167,1,"RIL79",174,1662.20823905561
"397","SD","IV",29,14,395,2,"RIL79",174,1662.20823905561
"398","SD","IV",38,10,182,1,"RIL8",174,1662.20823905561
"399","SD","IV",21,15,353,2,"RIL8",157,1470.45901998429
"400","SD","IV",22,10,102,1,"RIL80",182,1757.18758378496
"401","SD","IV",18,21,340,2,"RIL80",182,1757.18758378496
"402","SD","IV",26,3,126,1,"RIL81",195,1927.865626113
"403","SD","IV",38,15,434,2,"RIL81",182,1757.18758378496
"404","SD","IV",18,4,88,1,"RIL82",150,1382.56207956561
"405","SD","IV",21,14,355,2,"RIL82",143,1298.41578326931
"406","SD","IV",45,4,233,1,"RIL83",182,1757.18758378496
"407","SD","IV",6,18,268,2,"RIL83",195,1927.865626113
"408","SD","IV",25,7,133,1,"RIL84",143,1298.41578326931
"409","SD","IV",18,12,322,2,"RIL84",182,1757.18758378496
"410","SD","IV",9,3,45,1,"RIL85",174,1662.20823905561
"411","SD","IV",25,20,377,2,"RIL85",157,1470.45901998429
"412","SD","IV",18,5,90,1,"RIL86",174,1662.20823905561
"413","SD","IV",42,12,442,2,"RIL86",157,1470.45901998429
"414","SD","IV",45,3,235,1,"RIL87",174,1662.20823905561
"415","SD","IV",41,15,447,2,"RIL87",157,1470.45901998429
"416","SD","IV",6,10,22,1,"RIL88",157,1470.45901998429
"417","SD","IV",17,16,329,2,"RIL88",157,1470.45901998429
"418","SD","IV",46,4,234,1,"RIL89",129,1164.60187712715
"419","SD","IV",42,21,460,2,"RIL89",129,1164.60187712715
"420","SD","IV",29,1,159,1,"RIL9",174,1662.20823905561
"421","SD","IV",10,19,296,2,"RIL9",182,1757.18758378496
"422","SD","IV",26,7,134,1,"RIL90",129,1164.60187712715
